Genre,Frequency
Unknown,2988
"Crime, Drama, Mystery",5
"Drama, Mystery, Thriller",3
"Action, Crime, Drama",3
Drama,3
"Biography, Drama, History",2
"Horror, Sci-Fi, Thriller",2
"Crime, Horror, Mystery",2
Comedy,2
"Comedy, Crime",2
"Crime, Drama, Thriller",2
"Comedy, Fantasy, Horror",2
"Drama, Fantasy, Horror",2
"Horror, Mystery, Thriller",2
"Action, Drama, Thriller",2
"Adventure, Drama, Sci-Fi",2
"Horror, Thriller",2
"Comedy, Drama, Romance",1
"Drama, Western",1
"Drama, Thriller",1
"Action, Sci-Fi, Thriller",1
"Biography, Comedy, Drama",1
"Romance, Western",1
"Action, Drama, Western",1
"Action, Drama, History",1
"Action, Drama, Romance",1
"Action, Adventure, Fantasy",1
Thriller,1
"Adventure, Sci-Fi",1
"Comedy, Drama, Sci-Fi",1
"Drama, Romance",1
"Action, Adventure, Drama",1
"Action, Comedy, Thriller",1
Documentary,1
"Action, Comedy, Fantasy",1
"Comedy, Crime, Drama",1
"Action, Adventure, Comedy",1
"Action, Thriller",1
"Action, Biography, Drama",1
"Short, Horror",1
"Action, Crime, Mystery",1
"Comedy, Crime, Mystery",1
"Adventure, Drama, Mystery",1
"Comedy, Fantasy",1
"Drama, Horror, Mystery",1
"Action, Adventure, Crime",1
"Action, Adventure, Sci-Fi",1
"Action, Adventure, Horror",1
"Adventure, Comedy, Sci-Fi",1
"Animation, Biography, Drama",1
"Crime, Drama",1
"Comedy, Horror, Music",1
"Adventure, Horror, Thriller",1
"Animation, Short, Action",1
"Animation, Comedy, Family",1
"Animation, Adventure, Family",1
"Animation, Action, Adventure",1
"Mystery, Sci-Fi",1
"Action, Horror, Sci-Fi",1
"Horror, Mystery, Sci-Fi",1
"Crime, Horror, Thriller",1
"Comedy, Drama",1
Sci-Fi,1
"Action, Comedy, Crime",1
"Horror, Sci-Fi",1
